label,metaGroupId,groupId,goodPeakCount,medMz,medRt,maxQuality,adductName,isotopeLabel,compound,compoundId,formula,expectedRtDiff,ppmDiff,parent,1-1-5736,1-1-5741,1-1-5786,1-1-5787,1-1-5789
,1,1,5,776.560852,4.102,0.850078,[M-H]-,C12 PARENT,PE(O-18:0/22:6),PE(O-18:0/22:6),C45H80NO7P,1.021,1.178953,776.560852,102273.93,67329.80,60401.70,55522.97,52322.96
,1,2,0,777.563477,4.097,0.438017,,C13-label-1,PE(O-18:0/22:6),PE(O-18:0/22:6),C45H80NO7P,1.016,0.156991,776.560852,50515.33,26455.92,24472.72,39772.18,28956.75
,1,3,0,787.598022,4.083,0.064129,,C13-label-11,PE(O-18:0/22:6),PE(O-18:0/22:6),C45H80NO7P,1.002,1.472413,776.560852,9224.41,14804.02,9511.55,8655.27,14197.33
,1,4,0,788.600891,4.072,0.061184,,C13-label-12,PE(O-18:0/22:6),PE(O-18:0/22:6),C45H80NO7P,0.991,0.851365,776.560852,2525.34,0.00,0.00,1922.92,6572.57
,1,5,0,795.626099,4.137,0.059092,,C13-label-19,PE(O-18:0/22:6),PE(O-18:0/22:6),C45H80NO7P,1.056,2.991830,776.560852,3670.15,0.00,0.00,0.00,0.00
,1,6,0,778.570557,4.128,0.059451,,C13-label-2,PE(O-18:0/22:6),PE(O-18:0/22:6),C45H80NO7P,1.047,4.938838,776.560852,0.00,0.00,0.00,0.00,4080.62
,1,7,0,803.654419,4.161,0.060174,,C13-label-27,PE(O-18:0/22:6),PE(O-18:0/22:6),C45H80NO7P,1.080,4.784685,776.560852,5010.74,0.00,0.00,0.00,0.00
,1,8,0,804.655457,4.137,0.058816,,C13-label-28,PE(O-18:0/22:6),PE(O-18:0/22:6),C45H80NO7P,1.056,1.896317,776.560852,3378.23,0.00,0.00,0.00,0.00
,1,9,0,806.659119,4.138,0.058637,,C13-label-30,PE(O-18:0/22:6),PE(O-18:0/22:6),C45H80NO7P,1.057,1.891600,776.560852,0.00,3198.55,0.00,0.00,0.00
,1,10,0,812.678284,4.138,0.058613,,C13-label-36,PE(O-18:0/22:6),PE(O-18:0/22:6),C45H80NO7P,1.057,3.004139,776.560852,0.00,3174.77,0.00,0.00,0.00
,1,11,0,780.570068,4.159,0.061283,,C13-label-4,PE(O-18:0/22:6),PE(O-18:0/22:6),C45H80NO7P,1.078,4.300600,776.560852,0.00,3449.17,6286.02,0.00,0.00
,1,12,0,781.574219,4.115,0.056641,,C13-label-5,PE(O-18:0/22:6),PE(O-18:0/22:6),C45H80NO7P,1.034,3.279878,776.560852,0.00,3168.85,0.00,0.00,0.00
,1,13,0,784.588135,4.136,0.058108,,C13-label-8,PE(O-18:0/22:6),PE(O-18:0/22:6),C45H80NO7P,1.055,1.711440,776.560852,0.00,0.00,0.00,2710.67,0.00
,14,14,2,784.150208,12.782,0.847196,[M-H]-,C12 PARENT,FAD,FAD,C27H33N9O15P2,0.338,0.467017,784.150208,8743.33,10375.53,6286.95,4756.25,5363.31
,14,15,0,785.153137,12.777,0.055011,,C13-label-1,FAD,FAD,C27H33N9O15P2,0.333,0.155473,784.150208,925.40,735.03,0.00,814.26,0.00
,16,16,4,762.508606,4.093,0.852449,[M-H]-,C12 PARENT,PE(22:6/16:0),PE(22:6/16:0),C43H74NO8P,1.021,0.880498,762.508606,233972.88,386158.91,368021.72,408799.38,266525.12
,16,17,4,763.511719,4.093,0.802862,,C13-label-1,PE(22:6/16:0),PE(22:6/16:0),C43H74NO8P,1.021,0.559581,762.508606,117152.68,197607.39,184073.52,216539.42,109256.02
,16,18,0,774.545471,4.093,0.423797,,C13-label-12,PE(22:6/16:0),PE(22:6/16:0),C43H74NO8P,1.021,3.546044,762.508606,87605.65,91492.37,80453.93,82989.87,85825.66
,16,19,0,775.548401,4.121,0.230707,,C13-label-13,PE(22:6/16:0),PE(22:6/16:0),C43H74NO8P,1.049,4.092350,762.508606,27775.16,20861.19,26651.40,34541.85,10168.65
,16,20,0,777.561646,4.142,0.062122,,C13-label-15,PE(22:6/16:0),PE(22:6/16:0),C43H74NO8P,1.070,4.317276,762.508606,4170.30,9181.29,3052.89,17361.27,0.00
