label,metaGroupId,groupId,goodPeakCount,medMz,medRt,maxQuality,adductName,isotopeLabel,compound,compoundId,formula,expectedRtDiff,ppmDiff,parent,1-1-5736,1-1-5741,1-1-5786,1-1-5787,1-1-5789
,1,1,1,209.066528,12.306,0.548877,[M-H]-,,Sedoheptulose,Sedoheptulose,C7H14O7,0.155,0.729853,209.066528,11187.95,13633.42,15081.17,11258.74,17032.79
,2,2,5,209.118210,2.430,0.821085,[M-H]-,,Jasmonic Acid isomer,Jasmonic Acid isomer,C12H18O3,0.040,0.510771,209.118210,506307.50,821840.56,940258.94,691435.56,658900.44
,3,3,5,210.028366,13.355,0.855170,[M-H]-,,Creatine phosphate ,Creatine phosphate ,C4H10N3O5P,0.473,0.799161,210.028366,421967.91,496063.00,367304.12,362514.91,418753.78
,4,4,3,211.082230,10.360,0.844758,[M-H]-,,Perseitol,Perseitol,C7H16O7,0.309,0.433730,211.082230,19836.41,17452.40,19021.97,15774.23,19578.78
,5,5,3,211.170212,2.364,0.830555,[M-H]-,,Citronellyl propionate isomer,Citronellyl propionate isomer,C13H24O2,0.175,0.650324,211.170212,468052.09,643358.94,413482.91,758708.19,372331.75
,6,6,5,212.002167,2.156,0.818307,[M-H]-,,Indoxyl sulfate,Indoxyl sulfate,C8H7NO4S,0.013,0.647772,212.002167,11492451.00,6857294.00,9520811.00,8310676.00,13985225.00
,7,7,2,213.113129,3.199,0.668135,[M-H]-,,2-Carboxy-5_7-dimethyl-4-octanolide,2-Carboxy-5_7-dimethyl-4-octanolide,C11H18O4,0.311,0.501196,213.113129,60898.27,63730.26,56481.27,52116.86,66390.76
,8,8,2,213.113129,3.199,0.698025,[M-H]-,,2_2'-(3-methylcyclohexane-1_1-diyl)diacetic acid,2_2'-(3-methylcyclohexane-1_1-diyl)diacetic acid,C11H18O4,0.980,0.501196,213.113129,75098.70,75874.09,68714.73,57014.60,85435.07
,9,9,5,214.048508,13.752,0.837639,[M-H]-,,Glycerylphosphorylethanolamine,Glycerylphosphorylethanolamine,C5H14NO6P,0.162,0.427719,214.048508,518918.25,522998.16,511201.66,484741.09,567683.44
,10,10,4,214.144806,2.700,0.785879,[M-H]-,,N-Nonanoylglycine,N-Nonanoylglycine,C11H21NO3,1.489,0.285018,214.144806,55406.89,35730.92,40974.27,19726.04,53280.71
,11,11,4,216.098801,10.976,0.834639,[M-H]-,,N-Acetyl-L-citrulline,N-Acetyl-L-citrulline,C8H15N3O4,0.280,0.847322,216.098801,7351.33,6870.69,7701.38,7461.39,12849.86
,12,12,4,216.098801,10.976,0.834639,[M-H]-,,Gln-Ala,Gln-Ala,C8H15N3O4,0.887,0.847322,216.098801,7351.33,6870.69,7701.38,7461.39,12849.86
,13,13,5,213.185837,2.364,0.812159,[M-H]-,,Tridecanoic acid,Tridecanoic acid,C13H26O2,-1.000,0.787325,213.185837,672662.38,1200034.88,783248.44,1039073.81,726818.81
,14,14,5,203.001831,2.074,0.834838,[M-H]-,,Guaiacol sulfate,Guaiacol sulfate,C7H8O5S,0.019,0.676491,203.001831,487445.09,386358.00,571278.31,475099.22,1069890.00
,15,15,5,203.055984,13.146,0.778487,[M-H]-,,2-O-Ethyl ascorbic acid isomer,2-O-Ethyl ascorbic acid isomer,C8H12O6,0.189,0.601165,203.055984,69651.35,62145.80,44718.84,28934.82,49785.24
,16,16,5,203.067200,13.422,0.851357,[M-H]-,,gamma-D-Glutamylglycine,gamma-D-Glutamylglycine,C7H12N2O5,0.272,0.751415,203.067200,94264.02,78762.74,74496.06,57512.57,89125.87
,17,17,5,203.082520,9.145,0.841116,[M-H]-,,tryptophan,tryptophan,C11H12N2O2,0.370,0.375679,203.082520,22888818.00,17061998.00,21179502.00,16160852.00,21311714.00
,18,18,5,203.103638,13.572,0.849172,[M-H]-,,Val-Ser isomer,Val-Ser isomer,C8H16N2O4,1.604,0.450768,203.103638,20553.93,8902.83,11774.32,5097.46,23987.15
,19,19,2,204.051117,12.335,0.800125,[M-H]-,,N-(Carboxymethyl)-L-glutamic acid isomer,N-(Carboxymethyl)-L-glutamic acid isomer,C7H11NO6,0.841,1.196467,204.051117,23627.76,14612.12,17530.88,3570.29,27188.62
,20,20,3,204.066437,4.093,0.832448,[M-H]-,,Indolelactic acid,Indolelactic acid,C11H11NO3,0.097,0.897283,204.066437,1256672.38,1382236.38,1149648.75,1164508.88,1535934.00
,21,21,3,204.066437,4.093,0.832448,[M-H]-,,Cinnamoylglycine,Cinnamoylglycine,C11H11NO3,0.047,0.897283,204.066437,1256672.38,1382236.38,1149648.75,1164508.88,1535934.00
,22,22,3,204.066437,4.093,0.832377,[M-H]-,,DL-Indole-3-lactic acid,DL-Indole-3-lactic acid,C11H11NO3,1.253,0.897283,204.066437,1256672.38,1382236.38,1149648.75,1164508.88,1535934.00
,23,23,4,204.087631,10.672,0.828423,[M-H]-,,N-Acetyl-D-fucosamine,N-Acetyl-D-fucosamine,C8H15NO5,0.511,0.598127,204.087631,4655.03,2039.10,4176.64,5040.87,5969.02
,24,24,2,209.030121,12.306,0.596590,[M-H]-,,D-Saccharic acid ,D-Saccharic acid ,C6H10O8,1.694,0.802978,209.030121,33118.30,28609.17,33552.32,18020.91,18047.10
,25,25,2,205.035278,3.969,0.819140,[M-H]-,,Lipoic acid,Lipoic acid,C8H14O2S2,0.229,4.762877,205.035278,224679.45,202151.88,317582.00,148489.61,11496.26
,26,26,3,205.071533,12.985,0.695942,[M-H]-,,Diethyl tartrate isomer,Diethyl tartrate isomer,C8H14O6,0.443,1.116106,205.071533,25107.07,28213.29,34811.95,32271.76,11567.56
,27,27,2,206.082123,4.093,0.796440,[M-H]-,,Phenylpropionylglycine,Phenylpropionylglycine,C11H13NO3,1.093,0.666380,206.082123,1229354.12,1042036.75,1081354.00,989833.75,1645619.62
,28,28,2,206.082123,4.093,0.796875,[M-H]-,,N-acetyl-phe,N-acetyl-phe,C11H13NO3,0.121,0.666380,206.082123,1229354.12,1042036.75,1081354.00,989833.75,1645619.62
,29,29,5,207.014404,12.271,0.785299,[M-H]-,,Hydroxycitric acid isomer,Hydroxycitric acid isomer,C6H8O8,0.863,1.179340,207.014404,94112.29,105297.09,70624.04,65735.43,131367.20
,30,30,5,207.050827,12.325,0.713047,[M-H]-,,Hexosal isomer,Hexosal isomer,C7H12O7,0.344,0.958045,207.050827,54275.02,47424.00,63330.64,46568.57,73200.32
,31,31,1,207.066071,7.963,0.825060,[M-H]-,,DL-Benzylsuccinic acid,DL-Benzylsuccinic acid,C11H12O4,1.037,1.031665,207.066071,3238.22,5169.12,1167.69,2407.82,3232.29
,32,32,3,207.077347,9.794,0.750915,[M-H]-,,kynurenine,kynurenine,C10H12N2O3,0.924,0.810550,207.077347,14723.54,16380.85,13900.44,13072.33,10049.26
,33,33,5,207.102448,2.416,0.843893,[M-H]-,,Elemicin isomer,Elemicin isomer,C12H16O3,1.776,1.031484,207.102448,71908.98,106550.19,76957.20,83570.74,77560.09
,34,34,4,208.061371,3.440,0.834258,[M-H]-,,p-hydroxyphenylacetylglycine isomer,p-hydroxyphenylacetylglycine isomer,C10H11NO4,0.866,0.806717,208.061371,40300.14,24570.71,32897.88,22791.34,61320.39
